state,area,status_1906,released,source,grade
California,San Luis Obispo Co.,quarantined,1912-03 (statewide release),USDA BAI Circular 174 (1911) + 1912 proclamation (held A1),A1
California,Santa Barbara Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,Ventura Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,Los Angeles Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,Orange Co.,quarantined (heavy tier; ~21000-head ranch documented),1912-03,Circular 174 + proclamation,A1
California,San Diego Co. (incl. future Imperial),quarantined,1912-03,Circular 174 + proclamation,A1
California,Riverside Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,San Bernardino Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,Kern Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,Kings Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,Tulare Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,Fresno Co.,quarantined,1912-03,Circular 174 + proclamation,A1
California,Madera Co.,quarantined,1912-03,Circular 174 + proclamation,A1
Texas,entire state,quarantined,1943 (border zone permanent),USDA program histories,A2
Oklahoma,most of state,quarantined,~1930s,USDA program histories; county detail pending BAI annual reports,B1
Missouri,southern portion,quarantined,~1910s,pending BAI annual reports,B1
Arkansas,entire state,quarantined,~1943,AR Historic Preservation context,B1
Louisiana,entire state,quarantined,~1943,pending BAI annual reports,B1
Mississippi,entire state,quarantined,~1930s-40s,MS Encyclopedia,B1
Tennessee,most of state,quarantined,~1910s-20s,Farmers Bulletin 1057 (held A1) released-block,A1
Kentucky,southern portion,quarantined,~1910s,Farmers Bulletin 1057 released-block,A1
Alabama,entire state,quarantined,~1930s,Farmers Bulletin 1057 released-block,A1
Georgia,entire state,quarantined,~1920s-30s,Farmers Bulletin 1057 released-block,A1
Florida,entire state,quarantined,1943 (state law to 1961),FL DEP/DOH,A2
South Carolina,entire state,quarantined,~1910s-20s,Farmers Bulletin 1057 released-block,A1
North Carolina,eastern portion,quarantined,~1910s-20s,Farmers Bulletin 1057 released-block,A1
Virginia,southern portion,quarantined,~1910s,Farmers Bulletin 1057 released-block,A1
