topic,pmid,year,journal,title,url
mechanism-HR,37530740,2023,The FEBS journal,Arsenic affects homologous recombination and single-strand annealing but not end-joining pathways during DNA double-strand break repair.,https://pubmed.ncbi.nlm.nih.gov/37530740/
mechanism-HR,10712745,2000,Environmental and molecular mutagenesis,Arsenic[III] and heavy metal ions induce intrachromosomal homologous recombination in the hprt gene of V79 Chinese hamster cells.,https://pubmed.ncbi.nlm.nih.gov/10712745/
mechanism-HR,19553191,2009,Nucleic acids research,BRCA2-dependent homologous recombination is required for repair of Arsenite-induced replication lesions in mammalian cells.,https://pubmed.ncbi.nlm.nih.gov/19553191/
mechanism-HR,28521962,2018,Mutation research,The functional roles of PML nuclear bodies in genome maintenance.,https://pubmed.ncbi.nlm.nih.gov/28521962/
mechanism-DSB,37762697,2023,International journal of molecular scien,"Arsenite Impairs BRCA1-Dependent DNA Double-Strand Break Repair, a Mechanism Potentially Contributing to Genomic Instability.",https://pubmed.ncbi.nlm.nih.gov/37762697/
mechanism-DSB,35752363,2022,The Journal of biological chemistry,DEAD box 1 (DDX1) protein binds to and protects cytoplasmic stress response mRNAs in cells exposed to oxidative stress.,https://pubmed.ncbi.nlm.nih.gov/35752363/
mechanism-DSB,28262482,2017,Experimental and toxicologic pathology :,Cytotoxicity and genotoxicity effects of arsenic trioxide on SQ20B human laryngeal carcinoma cells.,https://pubmed.ncbi.nlm.nih.gov/28262482/
mechanism-DSB,28472378,2017,Toxicological sciences : an official jou,Efflux Transporters Regulate Arsenite-Induced Genotoxicity in Double Negative and Double Positive T Cells.,https://pubmed.ncbi.nlm.nih.gov/28472378/
mechanism-epigen,37958445,2023,Cancers,DNA Methylation Aberrations in Dimethylarsinic Acid-Induced Bladder Carcinogenesis.,https://pubmed.ncbi.nlm.nih.gov/37958445/
mechanism-epigen,20514360,2010,Epigenomics,Effects of arsenic exposure on DNA methylation and epigenetic gene regulation.,https://pubmed.ncbi.nlm.nih.gov/20514360/
mechanism-epigen,32971865,2020,Biomolecules,Arsenic Methyltransferase and Methylation of Inorganic Arsenic.,https://pubmed.ncbi.nlm.nih.gov/32971865/
mechanism-epigen,38052388,2024,The Science of the total environment,Targeting the 'DNA methylation mark': Analysis of early epigenetic-alterations in children chronically exposed to arsenic.,https://pubmed.ncbi.nlm.nih.gov/38052388/
MOA,16430879,2006,Chemico-biological interactions,"Free radicals, metals and antioxidants in oxidative stress-induced cancer.",https://pubmed.ncbi.nlm.nih.gov/16430879/
MOA,12505428,2003,Toxicology letters,Oxidative stress as a possible mode of action for arsenic carcinogenesis.,https://pubmed.ncbi.nlm.nih.gov/12505428/
MOA,20035570,2010,Chemical research in toxicology,Arsenic-induced carcinogenesis--oxidative stress as a possible mode of action and future research needs for more biologically based risk assessment.,https://pubmed.ncbi.nlm.nih.gov/20035570/
MOA,29846715,2018,Toxicological sciences : an official jou,Arsenic-Induced Carcinogenesis: The Impact of miRNA Dysregulation.,https://pubmed.ncbi.nlm.nih.gov/29846715/
